name,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,dist,hour,tuition,hobby,gender,sep_room,competitive,higher_stud,campus,extra,cet_score
Lelia Astridge,9.2,8.42,6.95,9.44,8.61,7.02,8.35,7.43,19,8,Yes,Yes,Female,No,Yes,Yes,Yes,Yes,177
Sindee Colvill,7.77,6.46,8.43,9.51,7.94,8.0,8.07,7.06,18,1,Yes,Yes,Female,Yes,No,Yes,No,Yes,160
Sigfried Spivey,9.7,7.74,9.63,9.22,8.21,9.09,7.99,9.71,2,0,Yes,No,Male,No,No,Yes,Yes,Yes,114
Annabal Edeson,6.18,6.67,7.63,9.75,8.71,7.03,8.2,6.91,14,5,No,No,Male,Yes,No,No,No,No,168
Delaney Batcock,6.37,9.34,9.9,7.73,8.96,9.81,7.68,8.96,14,7,No,Yes,Male,Yes,Yes,No,Yes,No,158
Merell Odde,6.97,7.17,6.44,8.49,8.23,8.29,8.13,8.59,22,2,No,Yes,Female,No,No,Yes,Yes,No,124
Wiatt Penticost,8.3,8.56,7.43,9.09,9.62,8.2,6.2,7.02,16,8,No,No,Male,Yes,Yes,No,Yes,No,155
Bayard Bilfoot,8.53,7.16,7.88,8.03,8.85,8.86,7.26,7.18,20,6,Yes,No,Male,Yes,No,Yes,Yes,No,110
Rodrick Bolsover,9.17,8.78,6.0,8.02,8.99,9.71,9.11,6.7,6,5,No,No,Male,No,No,Yes,No,Yes,139
Hamlen Athy,7.44,7.44,8.39,9.47,7.47,6.25,7.1,9.55,5,10,Yes,Yes,Female,No,No,No,Yes,Yes,82
Philomena Conerding,7.52,7.07,8.54,8.84,7.7,8.51,8.55,6.42,22,1,No,No,Male,No,Yes,No,No,No,148
Lona Lampett,7.31,9.85,9.35,6.11,7.09,7.85,9.58,8.92,3,10,No,No,Male,Yes,Yes,Yes,No,Yes,140
Damon Shoppee,7.1,7.67,8.12,6.78,9.37,6.39,9.24,9.22,15,3,No,No,Male,Yes,Yes,Yes,No,No,150
Lawrence Arnold,6.89,7.9,9.37,6.05,9.3,6.51,6.81,8.16,14,4,No,Yes,Male,Yes,No,No,Yes,No,85
Roselin Schult,7.33,8.72,9.61,8.15,7.5,9.65,7.44,8.85,6,8,Yes,Yes,Male,Yes,Yes,Yes,Yes,Yes,126
Garner Dumsday,8.62,6.7,6.91,6.67,7.61,6.4,7.67,8.31,17,4,Yes,Yes,Female,Yes,Yes,Yes,Yes,Yes,148
Sammie Abrahmovici,9.74,7.05,9.16,6.2,7.93,9.08,7.19,8.61,23,5,No,Yes,Female,No,No,Yes,Yes,No,87
Tessa Gerrill,9.75,6.48,9.64,9.86,8.85,9.04,6.67,7.61,17,2,No,Yes,Female,Yes,No,No,No,No,179
Thorndike Messitt,6.33,7.67,8.57,9.43,9.84,9.45,6.21,8.94,19,6,No,No,Male,No,No,Yes,Yes,No,108
Robenia Eastup,6.58,9.38,8.95,8.77,9.75,6.38,6.84,9.04,4,7,No,No,Female,Yes,Yes,No,No,No,103
Lynn Winter,7.67,8.89,7.2,9.86,6.73,9.32,6.58,7.56,5,7,No,No,Male,Yes,Yes,No,Yes,Yes,93
Patton Fenney,6.82,7.95,8.52,7.82,6.03,6.08,9.59,8.16,20,10,Yes,Yes,Male,No,Yes,No,No,Yes,88
Pamella Hunnable,7.0,6.47,8.3,6.15,9.3,8.79,9.64,9.27,14,5,No,No,Female,No,No,Yes,No,Yes,160
Grenville Gonning,6.13,9.52,9.63,8.89,6.02,9.91,8.03,8.03,16,1,No,No,Female,No,Yes,Yes,Yes,No,95
Randal Wayland,6.16,6.57,8.71,7.18,7.32,7.66,7.12,7.21,22,7,No,No,Male,Yes,No,No,No,No,125
Gardy Gummer,7.85,9.02,8.3,7.8,7.43,7.77,7.76,8.59,21,8,No,Yes,Male,Yes,No,Yes,No,No,180
Ola Birley,9.68,7.71,9.52,8.13,6.36,7.48,9.01,8.43,14,3,Yes,Yes,Male,No,No,Yes,Yes,Yes,100
Blondie Bradlaugh,9.85,7.19,6.74,6.05,9.61,6.41,6.98,6.8,10,9,Yes,No,Female,Yes,Yes,Yes,Yes,Yes,104
Brittaney Kilshall,6.05,6.65,9.79,7.95,8.72,8.36,7.95,6.13,4,9,No,No,Female,Yes,No,Yes,No,No,97
Malanie Menaul,9.23,7.16,8.09,9.58,7.23,7.44,7.77,8.73,13,7,No,Yes,Male,No,No,Yes,Yes,Yes,87
Rivy Seden,6.03,9.44,9.46,6.54,9.22,8.12,8.23,7.89,3,2,Yes,No,Female,Yes,No,Yes,Yes,No,151
Demetris Acom,6.83,8.26,6.33,9.76,6.4,7.56,7.34,8.76,3,1,Yes,Yes,Male,Yes,No,Yes,Yes,No,157
Horace Prettjohn,7.07,6.54,9.72,6.13,6.17,7.95,8.23,8.78,20,10,Yes,No,Female,Yes,No,No,Yes,Yes,96
Caitlin Kilmartin,9.39,9.09,8.9,7.46,8.84,7.78,9.89,9.72,12,8,No,No,Male,No,No,No,No,Yes,151
Guillema Taffrey,7.04,9.94,9.43,8.67,8.04,7.08,9.52,8.98,25,4,Yes,Yes,Male,No,No,No,Yes,No,134
Lezley Inold,6.91,9.71,6.55,7.85,7.17,6.01,9.99,7.84,4,3,No,No,Male,Yes,Yes,No,No,Yes,91
Worth Elks,9.15,6.21,9.9,7.81,9.83,6.57,8.21,7.02,12,7,Yes,No,Male,Yes,Yes,Yes,Yes,Yes,93
Cahra Gallagher,7.38,8.05,6.93,8.56,7.37,7.18,7.44,9.02,7,8,Yes,No,Female,Yes,No,No,No,No,88
Rinaldo Petegrew,9.85,6.47,9.71,6.09,6.28,8.56,7.7,6.51,23,9,No,Yes,Male,Yes,Yes,No,No,No,150
Davida McKelvey,7.0,7.91,7.49,8.68,6.9,9.43,8.74,6.82,19,9,Yes,No,Female,Yes,Yes,Yes,No,Yes,129
Dyane Drinkhall,7.77,7.43,6.47,8.0,7.71,9.85,8.81,6.95,19,4,No,Yes,Male,No,Yes,Yes,No,Yes,147
Cherrita Surmeir,8.98,7.93,9.1,6.74,6.45,8.98,9.2,9.72,21,6,No,Yes,Female,Yes,Yes,Yes,Yes,No,157
Gelya Tine,7.32,9.38,7.18,6.84,8.25,9.82,7.48,8.49,11,0,Yes,No,Male,Yes,Yes,Yes,Yes,Yes,103
Chandler Baggs,8.05,9.61,8.37,9.56,7.03,7.98,8.42,8.51,24,1,No,No,Female,No,Yes,No,Yes,No,158
Berry Styche,8.14,9.58,8.1,9.59,8.13,6.74,7.8,7.15,13,4,No,No,Female,No,Yes,Yes,No,No,100
Guillemette Moquin,6.37,8.51,7.06,9.15,8.58,6.21,9.96,7.73,15,8,Yes,No,Female,No,No,Yes,No,Yes,180
Gisele Quaife,9.64,6.22,8.27,9.9,7.38,6.53,6.73,9.22,4,5,No,No,Female,Yes,No,No,No,No,147
Ronny Phipson,7.43,8.35,7.16,9.32,8.81,9.84,9.39,8.34,25,8,No,No,Male,No,No,Yes,Yes,No,110
Evelin Piesold,7.31,6.44,6.42,8.3,7.86,8.31,9.49,9.86,22,6,Yes,Yes,Female,No,No,Yes,No,Yes,134
Vilhelmina Tolefree,9.73,8.35,7.61,9.05,7.77,6.5,8.59,7.91,13,6,Yes,Yes,Male,Yes,No,Yes,No,Yes,160
Pierette Anscott,9.84,8.59,6.3,9.16,6.15,6.43,8.53,8.07,11,10,Yes,No,Male,Yes,Yes,Yes,Yes,No,153
Archy Davis,9.87,6.82,9.46,9.29,7.26,8.75,7.99,7.98,4,3,No,Yes,Female,Yes,No,Yes,Yes,Yes,117
Herbert Spata,7.97,7.42,8.91,8.13,9.14,6.72,9.42,9.46,24,2,Yes,No,Female,No,No,No,Yes,Yes,160
Lyndel Mabee,8.51,9.98,9.34,7.19,7.25,9.6,7.16,8.65,23,1,No,No,Female,No,Yes,Yes,No,Yes,99
Susan Whitmell,6.32,7.74,6.77,7.39,7.86,6.12,6.02,6.86,8,0,No,No,Male,No,Yes,No,No,No,161
Lilllie Wedgbrow,6.87,7.68,8.83,6.9,9.42,7.84,9.54,8.4,22,9,Yes,Yes,Female,Yes,No,Yes,No,Yes,80
Martica Mayhead,6.2,10.0,9.57,8.02,6.87,9.43,9.66,7.27,23,10,No,No,Male,No,No,Yes,No,No,133
Jock Spikins,9.08,7.28,9.33,8.58,6.7,7.5,7.96,9.79,25,8,Yes,No,Male,Yes,No,No,No,Yes,101
Stan Skinley,8.17,9.36,7.93,6.31,6.0,8.42,6.54,7.91,15,4,Yes,No,Male,No,No,No,Yes,No,120
Almeda Randerson,6.62,9.67,6.07,9.0,9.17,6.03,8.68,6.14,3,1,No,No,Male,No,Yes,Yes,Yes,No,162
Suzi Scroggins,9.06,7.25,8.36,6.82,9.95,7.53,7.79,9.26,16,1,No,No,Female,No,No,No,No,No,157
Enid Sawell,8.35,7.34,8.74,8.95,8.02,7.42,7.99,9.55,6,9,Yes,Yes,Male,No,No,No,No,Yes,139
Tybalt Cristoforo,6.73,6.94,7.25,9.39,6.47,7.34,8.97,7.28,11,9,Yes,No,Male,Yes,Yes,Yes,No,No,126
Cyndia Domleo,6.74,8.69,7.38,9.29,6.26,7.44,9.29,9.59,16,4,Yes,Yes,Male,No,No,No,No,Yes,99
Jaquith Aarons,8.19,8.98,6.83,9.8,9.92,7.31,9.84,9.19,12,10,No,Yes,Female,Yes,Yes,No,Yes,Yes,95
Blayne Kilian,8.04,7.54,9.67,6.53,8.0,6.78,7.26,6.01,8,1,No,Yes,Male,Yes,No,Yes,No,Yes,170
Mahmud Imorts,9.13,8.79,7.48,6.85,8.77,8.51,9.9,6.58,13,9,Yes,No,Female,No,No,Yes,No,Yes,176
Prinz Sudell,8.78,6.07,7.02,7.01,9.85,9.57,8.66,9.07,19,7,No,No,Male,Yes,Yes,Yes,Yes,Yes,91
Connie Tooting,6.97,7.69,9.37,6.43,7.14,8.75,7.78,8.44,18,0,No,Yes,Female,Yes,No,No,No,Yes,116
Nicolina O'Lochan,8.83,9.48,6.96,8.64,9.66,9.63,7.99,9.6,14,1,Yes,Yes,Male,Yes,Yes,Yes,Yes,No,147
Toby Pettersen,8.08,6.05,6.74,7.6,8.62,6.8,7.72,8.55,20,10,No,Yes,Male,Yes,No,No,No,No,96
Bobbee Desaur,8.75,8.15,8.46,8.9,9.91,6.04,6.78,8.04,23,10,No,Yes,Male,Yes,No,No,No,No,167
Gillan Picheford,6.05,9.23,9.78,6.77,9.98,6.2,6.81,9.17,4,5,No,Yes,Male,Yes,Yes,Yes,Yes,No,116
Emanuel Bontein,8.68,7.95,7.11,9.57,8.82,7.89,8.57,8.81,9,2,Yes,No,Female,No,No,Yes,Yes,No,83
Aurelea McTeague,6.02,9.06,9.61,6.77,9.42,8.57,8.54,8.54,6,8,Yes,No,Male,No,No,Yes,Yes,No,150
Feliza Wiz,7.62,9.07,6.67,9.7,7.81,9.24,6.38,8.4,6,6,Yes,Yes,Female,Yes,Yes,No,Yes,Yes,135
Waldo Sawood,9.5,6.68,8.26,7.18,7.27,9.72,9.87,6.81,5,3,No,No,Female,No,No,Yes,No,No,145
Rochell Cosgrive,9.12,8.83,9.91,6.19,9.9,8.87,8.52,7.73,18,10,Yes,No,Female,Yes,Yes,Yes,No,No,102
Electra Furzey,9.21,8.2,7.37,7.16,9.74,9.34,9.24,7.69,4,5,No,Yes,Male,Yes,No,No,Yes,No,126
Gladi Work,7.84,6.67,9.94,6.17,8.41,7.55,6.97,6.73,11,6,Yes,Yes,Female,Yes,No,No,No,Yes,110
Trumaine Cankett,9.07,8.66,7.55,9.46,6.26,7.4,7.19,7.99,17,5,No,Yes,Female,Yes,Yes,Yes,No,No,146
Dallas Ladloe,7.88,7.05,9.13,7.21,6.38,8.44,7.94,9.54,9,9,Yes,No,Male,Yes,Yes,Yes,Yes,Yes,114
Christian Abramamovh,6.69,8.76,7.4,9.67,7.3,8.25,7.8,9.91,13,0,No,Yes,Female,Yes,No,No,No,Yes,114
Elna Aubrun,8.71,9.59,9.55,6.31,7.96,7.27,9.36,6.05,5,3,Yes,No,Male,No,No,No,Yes,No,86
Lise Syrad,8.41,7.36,8.72,6.26,6.85,9.64,6.44,9.85,3,6,No,No,Male,No,Yes,No,Yes,Yes,118
Carlene Larret,8.67,6.56,6.31,7.73,6.35,7.28,9.79,8.96,23,7,Yes,No,Male,Yes,No,No,No,Yes,180
Valencia Mansford,6.77,6.34,8.9,7.55,8.98,8.37,8.07,6.48,3,0,Yes,Yes,Male,Yes,No,No,No,No,152
Deck Fraczak,8.27,9.56,7.02,9.12,7.75,9.69,9.28,7.94,21,3,Yes,Yes,Male,No,No,Yes,No,No,85
Jessee Sorrel,9.01,7.18,7.17,7.63,7.11,9.15,6.62,8.32,7,8,Yes,No,Female,No,Yes,Yes,Yes,No,159
Katey Auten,8.78,6.26,9.38,8.93,7.85,8.41,6.13,8.6,14,1,Yes,No,Male,Yes,No,Yes,Yes,No,144
Gannon Skitterel,7.96,9.28,8.38,8.33,7.98,7.28,7.94,7.54,18,3,No,No,Female,No,No,No,No,Yes,164
Daren Marchello,9.83,9.74,6.09,8.56,8.93,8.94,7.38,9.14,21,3,Yes,No,Male,No,No,No,Yes,No,162
Tildi Toothill,7.09,6.06,9.6,9.95,9.76,9.75,7.55,7.47,3,1,No,No,Male,No,No,Yes,No,Yes,90
Margareta Shacklady,8.11,7.24,8.55,7.93,9.02,9.9,7.89,9.06,2,9,No,No,Female,Yes,No,Yes,No,No,164
Phillipp Comelini,8.33,8.49,6.26,8.76,8.51,9.95,8.04,6.68,14,8,No,Yes,Female,No,Yes,Yes,No,No,157
Jessee Toyne,9.52,8.24,7.27,8.99,9.55,6.12,7.54,9.19,5,4,No,Yes,Male,No,Yes,No,Yes,Yes,129
Helaine Saddler,6.45,6.78,7.18,7.59,7.72,9.31,9.39,8.16,11,10,No,Yes,Male,No,No,Yes,No,Yes,176
Rufus Hukins,9.86,6.68,9.18,9.73,7.74,7.8,9.52,9.75,15,4,Yes,No,Male,No,No,No,Yes,Yes,83
Timi Ellsbury,7.65,6.04,6.52,8.27,8.0,6.28,8.93,7.61,9,7,Yes,Yes,Female,Yes,No,Yes,No,No,80
Fabian Korneev,9.7,6.33,6.06,7.33,6.28,9.42,9.71,6.62,19,7,Yes,No,Female,Yes,Yes,No,Yes,No,129
Ximenes Colebeck,7.52,8.85,6.56,8.04,7.17,7.37,6.74,6.11,20,10,No,No,Female,No,Yes,No,No,Yes,95
Georgeanna Konrad,9.65,9.35,6.42,7.48,6.64,7.89,9.35,8.62,9,6,No,Yes,Female,No,No,Yes,No,No,125
Morna Gerardot,8.15,9.38,9.47,6.15,8.71,8.24,7.52,9.17,4,4,Yes,Yes,Male,Yes,Yes,Yes,No,Yes,113
D'arcy Murrish,8.23,7.58,6.77,9.55,8.83,9.69,9.85,9.47,19,1,Yes,No,Male,Yes,No,Yes,Yes,No,83
Aubrette Verbrugghen,8.73,9.07,8.6,7.28,9.13,7.74,6.22,6.3,3,6,No,Yes,Male,No,No,Yes,No,Yes,143
Maryanna Ertel,7.84,7.71,6.17,6.06,7.7,7.3,9.74,6.04,24,9,Yes,Yes,Male,Yes,No,Yes,Yes,No,85
Dredi Hollibone,8.59,7.52,8.49,7.34,6.27,9.49,6.8,9.27,15,5,No,Yes,Female,Yes,No,Yes,Yes,No,102
Clim Carmo,8.25,8.36,7.98,9.14,7.88,8.65,8.49,7.04,12,9,No,No,Male,No,No,No,No,Yes,121
Estele Dumphries,7.31,6.13,6.13,9.6,7.26,9.31,9.38,6.73,10,0,Yes,No,Male,Yes,No,No,No,No,128
Bail Skittrell,9.76,9.89,9.7,6.32,8.97,6.18,6.93,8.18,10,4,Yes,Yes,Male,No,Yes,No,Yes,No,115
Oliy Vaulkhard,6.47,6.8,8.16,8.32,7.9,9.05,7.63,9.19,16,10,No,No,Male,No,Yes,No,Yes,No,107
Vasili Eliez,9.7,7.68,8.15,8.94,6.37,9.98,7.62,8.35,4,1,Yes,Yes,Male,No,Yes,Yes,No,Yes,142
Shari Witcombe,8.96,9.68,7.12,7.2,6.69,9.46,9.74,6.03,4,10,Yes,Yes,Female,No,No,No,Yes,No,120
Datha Vegas,6.49,8.05,8.42,7.58,9.85,7.98,7.13,6.51,7,3,Yes,No,Female,No,Yes,No,Yes,Yes,172
Dolley Musselwhite,9.25,7.16,6.07,7.14,9.3,9.37,8.0,8.01,18,7,No,Yes,Female,Yes,No,No,No,No,109
Josee Ruffle,7.78,9.2,6.2,6.69,9.96,8.71,9.94,8.32,4,5,Yes,No,Female,No,Yes,No,Yes,No,118
Farra Nottle,8.94,8.09,9.52,8.68,6.81,6.19,7.34,6.26,7,6,Yes,No,Male,Yes,Yes,No,Yes,Yes,97
Courtnay Bruhnsen,8.11,6.3,7.34,9.61,7.87,7.05,6.18,8.86,14,4,Yes,No,Male,No,Yes,Yes,No,Yes,153
Heida Petofi,8.4,6.7,9.85,7.03,6.99,7.97,7.72,8.38,22,8,Yes,Yes,Male,Yes,No,No,No,Yes,114
Livvy Lloyd-Williams,9.79,9.95,8.82,8.26,8.82,9.88,7.26,8.02,11,10,No,No,Male,No,No,Yes,Yes,Yes,109
Rosamond Balazs,6.9,9.43,9.17,9.34,7.65,7.95,9.0,6.28,19,6,Yes,No,Male,No,Yes,No,Yes,Yes,104
Roddie Levay,7.71,6.34,7.46,7.76,8.68,6.7,6.56,8.27,24,10,Yes,No,Female,Yes,Yes,Yes,No,No,120
Win Tranckle,9.04,6.8,7.19,9.38,9.77,8.16,7.78,8.62,19,0,No,No,Male,No,Yes,No,Yes,No,147
Brennen Steed,7.24,6.22,8.35,8.37,8.0,6.54,9.21,9.58,2,2,Yes,No,Male,No,No,No,Yes,Yes,135
Sissie Perrygo,9.71,9.9,6.64,9.84,7.39,6.89,8.46,6.17,4,0,No,No,Female,No,No,Yes,Yes,Yes,116
Gaultiero Lacer,7.63,8.65,6.99,7.75,6.18,8.8,8.09,8.27,24,0,No,No,Male,No,Yes,No,Yes,No,113
Peggi Curzey,8.12,6.4,9.47,9.69,7.79,7.06,9.01,6.59,12,7,No,No,Female,Yes,Yes,No,Yes,Yes,154
Dex Probbing,6.05,9.76,7.48,9.82,7.74,8.05,9.43,8.64,10,0,No,No,Male,Yes,No,Yes,Yes,Yes,82
Guendolen Ort,9.28,9.15,9.49,6.2,7.01,9.64,9.67,6.45,18,9,Yes,No,Female,Yes,No,Yes,Yes,No,164
Lin Sawart,6.49,8.97,8.39,6.49,6.5,6.82,7.34,6.66,9,7,Yes,No,Male,Yes,Yes,No,Yes,No,178
Margarethe Ivashinnikov,8.17,8.71,8.92,8.42,6.61,6.68,9.79,9.52,4,5,Yes,Yes,Male,No,No,Yes,No,Yes,158
Nerita Boot,6.54,9.36,8.29,6.79,7.7,8.75,9.66,6.03,14,9,Yes,Yes,Male,No,No,Yes,No,No,100
Donavon Sutherel,7.55,8.87,9.5,9.66,7.74,8.57,7.25,6.27,25,3,Yes,No,Male,Yes,No,Yes,Yes,No,125
Goober Estrella,7.46,6.89,7.47,6.12,6.75,6.84,8.8,7.32,13,2,No,No,Female,No,No,Yes,Yes,No,170
Vally Debnam,6.88,9.96,8.78,7.52,6.43,7.15,6.73,7.34,17,7,Yes,Yes,Male,Yes,Yes,No,Yes,Yes,150
Mac Jerram,9.14,9.73,8.09,6.2,6.91,7.1,8.92,9.05,6,8,Yes,No,Male,No,No,Yes,Yes,Yes,94
Elane Torbeck,6.95,6.92,9.01,9.72,7.91,9.89,7.14,7.58,5,1,Yes,Yes,Male,No,Yes,Yes,No,Yes,99
Jerome Alps,9.63,7.0,8.22,9.35,6.35,8.99,7.4,7.82,19,7,No,No,Female,Yes,No,Yes,No,No,117
Keely MacLaughlin,8.63,8.03,9.45,8.04,9.89,7.64,9.22,7.27,24,8,Yes,No,Female,Yes,Yes,No,Yes,No,127
Hildagard Stone,6.48,7.54,9.33,7.45,7.05,9.89,8.9,7.51,8,4,No,No,Female,Yes,No,Yes,Yes,No,92
Hallie Ivashintsov,6.45,6.02,9.18,9.39,9.02,9.88,9.25,6.26,21,7,No,Yes,Male,Yes,No,Yes,Yes,No,95
Shay Georgeot,9.39,6.13,9.27,7.78,6.8,8.73,6.89,9.94,8,2,No,No,Female,Yes,Yes,No,No,No,108
Eduard Giacomucci,7.17,8.87,7.47,7.81,8.75,8.22,9.66,6.8,10,4,Yes,Yes,Female,No,Yes,Yes,No,No,167
Innis Kassidy,6.87,7.37,8.77,9.16,8.97,8.65,9.72,7.79,19,8,No,No,Female,No,No,No,No,No,152
Libbi Thow,8.61,7.59,9.77,8.86,9.99,6.1,8.38,7.28,9,10,No,No,Female,No,Yes,No,Yes,No,163
Berenice Collomosse,7.73,6.62,9.02,6.87,6.96,7.89,6.39,9.31,15,7,Yes,Yes,Female,Yes,No,Yes,No,No,128
Eldon Smerdon,6.8,6.9,7.76,9.03,7.64,6.24,7.74,6.89,17,10,No,No,Male,No,No,Yes,No,Yes,80
Carri Blemen,8.57,7.69,7.28,9.29,8.12,7.73,9.39,6.32,24,1,Yes,No,Female,Yes,Yes,No,No,No,155
Cyndia Topping,6.64,9.26,7.53,6.89,9.99,8.22,8.66,6.45,2,7,No,Yes,Female,Yes,No,No,No,No,139
Milzie Lomas,6.44,8.15,9.38,7.99,6.5,6.28,8.56,8.47,13,2,No,Yes,Female,Yes,Yes,No,Yes,Yes,160
Debera Huxstep,6.11,6.75,8.43,6.25,6.75,7.07,9.63,7.65,20,10,No,No,Female,Yes,Yes,Yes,No,Yes,81
Burton Ponting,7.7,9.55,6.33,9.04,6.12,8.13,8.17,6.66,9,6,No,No,Male,No,No,No,No,Yes,129
Myles Gilbride,9.08,9.62,7.27,6.91,8.17,7.58,6.51,8.62,23,8,No,Yes,Male,No,No,No,No,Yes,153
Morry Siddon,7.22,8.15,7.09,6.97,6.12,9.38,6.26,7.03,20,9,Yes,No,Female,Yes,Yes,No,Yes,No,128
Bibbie MacBean,9.07,6.01,9.18,6.95,7.04,8.58,6.69,6.54,9,2,No,Yes,Female,No,No,No,No,No,125
Phillipp Bello,8.35,9.22,8.28,9.96,6.55,9.92,9.3,7.67,9,2,No,Yes,Female,Yes,Yes,Yes,No,No,150
Gibbie Wetherhead,7.51,7.71,7.21,9.51,8.42,6.55,6.19,6.99,22,6,No,Yes,Female,Yes,Yes,Yes,Yes,Yes,147
Issie Beentjes,8.38,6.28,7.95,9.66,9.71,9.6,6.02,8.88,7,2,Yes,No,Male,Yes,Yes,No,Yes,No,127
Granny Clare,6.27,7.22,9.24,9.97,6.05,6.75,8.64,6.16,17,4,No,No,Female,No,Yes,Yes,No,Yes,152
Towney Gilbane,8.09,9.68,9.56,6.48,8.77,8.47,8.82,9.13,9,7,No,Yes,Male,Yes,No,Yes,No,No,119
Karilynn Margach,6.05,8.61,8.87,7.33,9.82,6.41,7.17,7.49,24,9,Yes,Yes,Male,Yes,No,No,Yes,No,130
Florri Meadowcraft,6.59,6.34,7.99,7.34,6.38,7.57,8.12,9.71,5,7,Yes,No,Female,No,No,No,No,Yes,162
Sarine Callacher,8.61,6.64,7.6,8.01,7.58,8.83,8.93,7.57,25,7,Yes,No,Male,Yes,Yes,Yes,No,No,120
Jermaine Laidel,7.86,6.92,7.2,7.07,9.83,7.6,7.63,8.99,20,8,No,Yes,Female,Yes,Yes,Yes,No,No,142
Osgood Sharper,7.03,8.57,6.87,8.27,7.13,7.42,6.61,9.33,4,7,Yes,No,Female,Yes,Yes,No,No,No,125
Lurette Sparshutt,6.62,9.62,6.81,9.59,8.74,9.73,6.98,9.05,13,5,Yes,No,Male,No,Yes,No,Yes,Yes,162
Clementina Klaes,6.57,7.03,9.89,9.85,9.56,8.27,9.94,6.3,24,2,Yes,Yes,Female,No,No,No,Yes,No,138
Leola Pegler,7.99,7.81,8.2,8.57,7.43,7.46,7.22,7.53,14,7,No,Yes,Male,Yes,Yes,Yes,No,Yes,115
Kendre Kelledy,7.28,7.9,7.38,7.82,7.77,6.98,7.77,9.58,20,3,Yes,No,Female,Yes,No,No,Yes,No,165
Billy Lydster,6.66,8.03,8.9,6.75,9.85,9.46,7.24,7.49,23,8,No,Yes,Male,Yes,No,No,Yes,Yes,81
Mariam Setterthwait,6.57,8.41,9.48,9.99,9.49,6.35,8.46,7.61,2,5,No,No,Female,Yes,No,No,Yes,No,165
Cyrill Pedder,7.3,9.61,9.67,8.61,6.96,9.0,7.54,6.61,20,4,No,No,Male,Yes,Yes,No,No,No,109
Horst McKevin,8.79,8.06,7.3,7.34,8.94,8.85,7.1,8.48,14,5,No,No,Male,No,No,No,Yes,Yes,109
Drucie Lisciandri,8.82,6.4,9.25,8.35,9.95,9.1,8.35,6.31,6,8,Yes,No,Female,Yes,No,Yes,No,No,146
Eula Espino,8.44,7.6,6.63,8.83,6.86,8.93,9.35,9.97,7,8,Yes,No,Female,No,Yes,No,No,Yes,94
Meara Lorrie,8.34,9.18,8.72,9.8,7.28,7.15,9.39,8.62,3,1,Yes,Yes,Male,Yes,No,No,No,No,179
Trudi Sidebotton,9.56,9.45,8.66,9.23,8.27,7.41,9.1,9.58,23,10,Yes,Yes,Male,Yes,No,No,No,No,163
Lorin Houseman,7.54,7.78,6.06,6.1,8.29,7.38,6.41,7.13,10,9,No,Yes,Female,Yes,Yes,No,Yes,No,161
Royal Mollett,7.84,8.84,6.78,9.18,7.23,8.91,7.3,6.78,14,0,No,No,Female,No,No,No,Yes,No,152
Marjorie Paling,8.4,7.66,6.23,7.91,6.6,8.04,6.71,8.91,12,5,No,No,Female,Yes,Yes,No,No,No,115
Renae Alasdair,7.37,9.49,6.31,8.81,7.47,6.51,7.86,6.35,20,0,Yes,Yes,Female,Yes,No,Yes,Yes,Yes,164
Carolyn Mellonby,8.74,8.25,8.88,7.41,9.19,9.32,7.83,6.66,12,3,Yes,Yes,Male,Yes,Yes,Yes,Yes,Yes,82
Grissel Coots,6.56,7.8,8.53,8.54,9.36,6.4,6.83,8.37,22,2,No,Yes,Female,Yes,No,Yes,Yes,No,135
Guendolen Archer,6.79,8.12,7.37,6.49,9.68,8.3,6.23,8.54,24,0,No,Yes,Male,No,No,Yes,No,Yes,150
Georgetta Mccaull,6.69,6.93,8.21,8.23,6.19,6.05,7.47,8.36,12,10,Yes,No,Female,Yes,No,No,No,No,97
Elane Crosswaite,9.48,7.71,6.56,7.88,9.58,8.47,6.52,9.76,12,10,Yes,No,Female,Yes,No,No,Yes,Yes,177
Giralda Rylands,9.17,9.92,7.52,9.05,7.03,9.62,9.55,6.55,25,5,No,Yes,Male,No,Yes,Yes,No,No,154
Olenka Pallesen,6.82,8.84,7.04,6.81,7.02,7.22,8.88,8.98,7,9,Yes,No,Male,Yes,Yes,No,No,No,142
Whitby Paffot,6.29,6.64,8.04,9.95,6.31,9.79,8.02,8.73,5,5,No,Yes,Female,Yes,No,Yes,Yes,Yes,109
Lucienne Kobpa,7.02,7.08,8.92,8.31,6.42,6.76,9.11,9.71,16,5,No,Yes,Male,Yes,Yes,Yes,Yes,No,126
Dru Wyld,9.18,7.61,9.24,6.1,7.4,7.35,9.07,6.03,24,6,No,No,Male,No,No,No,Yes,No,144
Mariam Tabbernor,8.09,6.06,8.17,7.31,8.48,9.68,8.08,8.08,19,9,Yes,No,Female,Yes,Yes,No,Yes,Yes,88
Lydie Milliken,9.84,8.18,7.19,9.9,8.21,8.82,6.66,6.11,4,7,No,No,Male,No,Yes,No,No,Yes,134
Laurette McCullough,6.57,8.85,9.53,6.96,7.68,7.5,6.15,9.45,6,3,No,Yes,Male,No,Yes,Yes,Yes,No,109
Jennica Gyurkovics,6.77,9.38,6.97,7.36,8.56,9.86,9.12,8.57,6,9,No,Yes,Female,No,No,Yes,Yes,Yes,167
